zip,geoid
32815,12009069905
00501,36103158607
21852,24045010606
10311,36085029105
32816,12095016515
00604,72005400300
21856,24045010800
10313,36085027702
32831,12095016731
00605,72005401301
21857,24039930500
10503,36119011300
32853,12095010202
00611,72141957100
21861,24045010701
10517,36119014704
32854,12095018901
00614,72013301200
21865,24045010800
10519,36119015000
32855,12095018300
00631,72081958400
21866,24039930200
10526,36119012501
32856,12095013900
00688,72013302300
21867,24039930800
10527,36119014908
32857,12095013201
00694,72145560701
21872,24047950800
10535,36119014806
32858,12095012100
00721,72119130500
21890,24039930800
10540,36119014901
32859,12095014100
00732,72113070202
21902,24015031202
10542,36079011400
32860,12095015202
00733,72113070300
21913,24015030100
10545,36119013103
32861,12095014601
00737,72035260600
21914,24015030907
10546,36119013103
32862,12095016802
00741,72069180100
21915,24015030200
10551,36119003200
32867,12095016411
00744,72103170200
21916,24015030501
10587,36119014907
32868,12095012304
00775,72049950500
21919,24015030100
10596,36119014604
32869,12095017122
00785,72057270400
21922,24015030400
10610,36119008602
32872,12095016709
00786,72009250100
22009,51059430902
10702,36119000401
32877,12095017011
00792,72069180600
22037,51059440201
10802,36119006000
32878,12095016740
00801,78030961100
22038,51600300400
10910,36071014900
32899,12009069905
00803,78030961100
22040,51610500100
10911,36087010101
32902,12009064800
00804,78030961100
22067,51059480100
10912,36071014700
32906,12009065128
00830,78020950100
22081,51059461700
10914,36071013301
32910,12009071351
00831,78020950200
22082,51059461700
10915,36071010902
32911,12009071347
00902,72127000600
22103,51059480302
10922,36071013800
32912,12009065024
00908,72127001900
22106,51059470500
10932,36071011400
32923,12009071500
00910,72127002300
22107,51059480204
10933,36071011702
32924,12009062600
00914,72127001100
22108,51059480204
10949,36071014101
32932,12009071700
00916,72127003200
22109,51059480205
10953,36071013100
32936,12009064202
00919,72127010500
22116,51059461700
10959,36071014502
32941,12009064127
00922,72061040302
22121,51059415900
10964,36087013402
32950,12009065231
00928,72127009300
22122,51059422000
10969,36071014501
32954,12009069907
00929,72127005214
22125,51153900301
10975,36071014900
32956,12009063104
00931,72127009300
22135,51179010201
10979,36071014801
32957,12061050808
00935,72127008400
22158,51059430400
10981,36071014302
32959,12009062114
00936,72127980103
22160,51059430400
10982,36087011603
32961,12061050201
00937,72031980003
22183,51059461000
10985,36071010902
32964,12061050504
00940,72127002300
22185,51059461802
10986,36087010101
32965,12061050601
00950,72137121802
22194,51153900701
10988,36071011702
32969,12061050907
00951,72137121802
22195,51153900403
11002,36059404500
32970,12061050812
00954,72135510300
22199,51059422101
11022,36059300700
32971,12061050812
00958,72021031402
22210,51013101900
11202,36047001300
32978,12061050807
00960,72021031501
22214,51013102500
11241,36047000900
33001,12087971002
00963,72033020200
22215,51013103405
11242,36047000900
33002,12086000715
00970,72061040500
22216,51013101602
11243,36047003500
33008,12011100302
00975,72127006302
22217,51013101407
11245,36047001100
33011,12086001606
00977,72033020200
22219,51013101603
11247,36047024700
33017,12086011702
00981,72031980003
22225,51013101900
11251,36047054300
33022,12011091903
00984,72031050222
22226,51013101503
11252,36047016400
33039,12086980700
00986,72031050700
22227,51013103404
11256,36047122000
33041,12087972500
00988,72031050232
22230,51013101409
11351,36081090700
33045,12087972100
01004,25015820500
22240,51013103405
11352,36081085300
33051,12087971001
01009,25013810200
22241,51013101900
11380,36081026902
33052,12087971100
01012,25015822607
22242,51013103405
11386,36081055700
33061,12011031001
01014,25013810901
22243,51013103405
11405,36081044400
33074,12011030100
01021,25013810800
22244,51013103405
11424,36081021601
33075,12011020314
01029,25003933400
22245,51013103405
11425,36081042600
33077,12011020316
01032,25015822607
22313,51510201601
11431,36081044602
33081,12011091702
01035,25015821400
22332,51510200704
11437,36081032000
33082,12011110332
01036,25013813500
22333,51510200403
11439,36081126700
33083,12011091100
01037,25027723100
22350,51510200104
11451,36081024600
33084,12011110308
01038,25015821500
22402,51630000201
11499,36081071600
33090,12086011104
01053,25015821700
22403,51179010304
11509,36059416300
33092,12086010708
01059,25015820300
22412,51179010307
11531,36059407301
33093,12011020103
01061,25015821904
22428,51033030300
11549,36059407301
33097,12011010502
01066,25015821500
22430,51179010103
11551,36059406701
33101,12086003400
01071,25013813002
22433,51137110106
11556,36059407302
33106,12086009010
01072,25011040600
22442,51193010101
11569,36059416900
33109,12086004500
01074,25027722100
22446,51033030100
11571,36059412301
33112,12086009010
01079,25013810200
22448,51099040100
11582,36059410500
33114,12086006203
01081,25013813801
22451,51099040400
11599,36059407301
33116,12086008424
01083,25027761100
22454,51057950800
11739,36103147503
33119,12086004303
01084,25015822607
22471,51179010301
11765,36059517801
33124,12086007101
01086,25013812600
22472,51159040200
11773,36059518700
33152,12086009102
01090,25013812201
22463,51179010206
11802,36059518900
33153,12086001104
01092,25027761100
22476,51057950600
11804,36059520100
33163,12086009704
01093,25011040800
22481,51099040500
11815,36059519300
33164,12086000204
01094,25027723100
22488,51193010102
11931,36103169906
33192,12086009010
01097,25013813002
22501,51033030502
11939,36103170206
33197,12086010207
01101,25013801101
22507,51103030100
11956,36103170005
33198,12086009010
01111,25013801501
22509,51057950600
11957,36103170206
33199,12086008904
01115,25013801101
22511,51133020100
11960,36103190503
33206,12086980500
01116,25013813304
22513,51103030200
11964,36103180300
33222,12086009010
01138,25013802200
22523,51103030100
11965,36103180300
33231,12086006721
01139,25013801401
22524,51193010102
11969,36103190802
33233,12086007103
01144,25013801101
22526,51099040500
11973,36103158710
33238,12086001402
01152,25013800202
22528,51103030100
12007,36001014401
33239,12086004208
01202,25003900100
22529,51193010102
12008,36093032402
33242,12086002404
01222,25003926100
22530,51133020301
12022,36083052103
33243,12086007603
01224,25003911100
22517,51103030100
12031,36095740400
33245,12086006902
01227,25003912100
22535,51033030100
12040,36083052103
33247,12086000903
01229,25003924100
22538,51033030100
12045,36001014401
33255,12086007605
01243,25015822700
22544,51099040500
12050,36021000600
33257,12086008208
01244,25003933300
22545,51179010202
12063,36083052502
33261,12086000109
01253,25003933400
22547,51099040400
12069,36057072800
33265,12086008810
01256,25003931300
22548,51159040100
12071,36095740600
33266,12086004703
01258,25003934300
22552,51033030202
12073,36095740700
33269,12086009906
01259,25003933300
22555,51179010103
12082,36083052101
33280,12086000122
01260,25003914100
22558,51193010200
12085,36001014613
33296,12086018602
01263,25003924100
22565,51177020311
12089,36083051701
33302,12011041601
01264,25003933200
22577,51193010102
12107,36001014700
33303,12011041900
01302,25011041302
22579,51133020302
12108,36041950500
33307,12011050602
01338,25011041502
22581,51193010200
12115,36021000300
33310,12011050800
01344,25011040400
22604,51840000101
12124,36039080100
33318,12011060606
01346,25011040100
22622,51069050100
12125,36021000100
33320,12011060129
01347,25011040702
22623,51157950100
12128,36001013707
33329,12011070204
01342,25011040900
22626,51171040101
12132,36021000300
33335,12011043302
01350,25011040100
22640,51157950100
12133,36083051701
33338,12011040702
01354,25011040200
22641,51171040202
12139,36041950500
33339,12011040402
01378,25011040400
22643,51061930203
12141,36093033102
33345,12011070205
01379,25011040400
22646,51043010200
12150,36093032602
33346,12011042301
01380,25011040400
22649,51187020200
12164,36041950500
33348,12011040503
01436,25027705102
22709,51113930102
12165,36021000800
33355,12011070205
01438,25027705101
22711,51113930202
12172,36021000600
33359,12011050309
01467,25027761401
22715,51113930101
12181,36083040701
33388,12011061004
01472,25017326101
22718,51047930400
12183,36001013100
33394,12011042502
01508,25027756101
22719,51113930202
12190,36041950400
33402,12099002600
01509,25027756101
22725,51113930101
12194,36095740600
33416,12099003802
01515,25027759100
22726,51047930400
12195,36021000100
33419,12099001404
01521,25013813801
22729,51047930501
12201,36001001100
33420,12099000803
01525,25027750200
22732,51113930102
12223,36001001100
33421,12099007813
01526,25027751101
22736,51047930400
12224,36001001100
33422,12099001920
01537,25027753100
22742,51061930703
12226,36001000403
33424,12099006007
01538,25027749200
22748,51113930201
12232,36001000403
33425,12099006201
01541,25027720100
22749,51157950200
12233,36001001100
33427,12099007603
01546,25027739202
22803,51660000101
12234,36001001100
33429,12099007501
01561,25027713100
22810,51171040201
12235,36001013703
33443,12011010202
01586,25027737200
22811,51165011000
12236,36001001100
33448,12099007774
01613,25027731700
22820,51165011000
12237,36001001100
33454,12099004819
01653,25027730401
22833,51165010400
12239,36001001100
33459,12099008301
01655,25027732002
22845,51171040201
12240,36001001100
33464,12099005202
01703,25017383600
22848,51165011700
12245,36001001100
33465,12099005502
01704,25017383300
22905,51540000700
12246,36001000404
33466,12099004602
01718,25017363106
22906,51540000800
12247,36001001100
33468,12099000222
01719,25017388100
22909,51003010502
12248,36001001100
33474,12099005949
01745,25027741101
22924,51003011201
12249,36001001100
33475,12085001408
01770,25017386100
22943,51003011201
12255,36001001100
33481,12099007012
01784,25017320102
22945,51003011000
12257,36001000700
33482,12099006909
01805,25017332401
22946,51003011400
12260,36001000700
33488,12099007741
01812,25009254403
22957,51137110301
12288,36001013901
33493,12099008302
01822,25017316102
22964,51125950300
12301,36093021001
33497,12099007777
01831,25009260100
22965,51079030202
12212,36001013901
33499,12099007012
01834,25009264100
22976,51125950300
12220,36001001400
33508,12057013406
01842,25009250100
22987,51003010100
12345,36093032101
33509,12057013307
01853,25017310102
22989,51113930101
12417,36111952500
33521,12119910300
01865,25017316300
23001,51073100500
12418,36039080202
33524,12101033014
01866,25017316201
23003,51073100201
12422,36039080202
33526,12101032601
01885,25009213100
23011,51127700302
12423,36039080202
33530,12057013207
01888,25017333601
23018,51073100500
12420,36111954500
33539,12101033009
01889,25017330202
23021,51115951401
12427,36039080404
33550,12057012109
01899,25009254403
23025,51115951401
12429,36111952600
33564,12057013002
01903,25009206800
23027,51049930101
12432,36111950300
33568,12057013925
01908,25009201100
23031,51119951000
12433,36111951100
33571,12057014010
01910,25009207200
23035,51115951301
12438,36025971200
33574,12101032200
01931,25009221500
23039,51075400200
12441,36111950900
33575,12057014122
01936,25009215101
23043,51119951200
12444,36039080402
33583,12057012108
01937,25009211401
23045,51115951402
12448,36111950600
33586,12057014104
01961,25009210302
23056,51115951401
12450,36039080404
33587,12057012402
01965,25009217602
23058,51087200150
12452,36039080402
33593,12101032401
01971,25009204500
23062,51073100301
12454,36039080301
33595,12057012210
01985,25009263100
23064,51115951302
12464,36111955300
33601,12057005101
02018,25023501204
23066,51115951302
12470,36039080502
33620,12057010900
02020,25023506206
23067,51075400500
12471,36111952600
33622,12057980600
02041,25023506203
23068,51115951301
